****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 21:47:45 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
clknet_0_net499             1.80    0.023    -1.000   0.0000      0.0000  a
clknet_0_net506             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net508             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net510             1.80    0.017    -1.000   0.0000      0.0000  a
clknet_0_net515             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net517             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net522             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net542             1.80    0.023    -1.000   0.0000      0.0000  a
clknet_0_net552             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net560             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net562             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net568             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net585             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net591             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net592             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net595             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net604             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net606             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net617             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net623             1.80    0.018    -1.000   0.0000      0.0000  a
clknet_0_net705             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net706             1.80    0.024    -1.000   0.0000      0.0000  a
clknet_0_net742             1.80    0.018    -1.000   0.0000      0.0000  a
clknet_0_net743             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net744             1.80    0.022    -1.000   0.0000      0.0000  a
clknet_0_net760             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net761             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net762             1.80    0.024    -1.000   0.0000      0.0000  a
clknet_0_net778             1.80    0.024    -1.000   0.0000      0.0000  a
clknet_0_net779             1.80    0.033    -1.000   0.0000      0.0000  a
clknet_0_net780             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net797             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net798             1.80    0.026    -1.000   0.0000      0.0000  a
clknet_0_net799             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net815             1.80    0.018    -1.000   0.0000      0.0000  a
clknet_0_net833             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net834             1.80    0.020    -1.000   0.0000      0.0000  a
clknet_0_net835             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net852             1.80    0.017    -1.000   0.0000      0.0000  a
clknet_0_net853             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net854             1.80    0.019    -1.000   0.0000      0.0000  a
clknet_0_net922             1.80    0.021    -1.000   0.0000      0.0000  a
clknet_0_net924             1.80    0.022    -1.000   0.0000      0.0000  a
