****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 12:17:03 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
clknet_1_1__leaf_net332     1.80    0.012    0.000    0.46e-4  9.154e-10  a
net41                       1.80    0.011    0.186    0.51e-4  9.024e-10  a
net321                      1.80    0.069    0.981    0.80e-5  8.895e-10  a
net1001                     1.80    0.034    0.981    0.16e-4  8.845e-10  a
net97                       1.80    0.078    0.992    0.70e-5  8.806e-10  a
net108                      1.80    0.003    0.824    0.0002   8.707e-10  a
net1074                     1.80    0.005    0.834    0.0001   8.681e-10  a
net111                      1.80    0.003    0.844    0.0002   8.630e-10  a
net1004                     1.80    0.027    0.981    0.20e-4  8.606e-10  a
net535                      1.80    0.011    0.000    0.49e-4  8.596e-10  a
net52                       1.80    0.011    0.000    0.46e-4  8.533e-10  a
net1115                     1.80    0.004    0.834    0.0001   8.396e-10  a
net549                      1.80    0.009    0.275    0.55e-4  8.244e-10  a
clknet_0_net54              1.80    0.020    0.941    0.25e-4  8.070e-10  a
net917                      1.80    0.007    0.514    0.72e-4  7.919e-10  a
net418                      1.80    0.027    0.000    0.18e-4  7.909e-10  a
clknet_0_net56              1.80    0.023    0.000    0.21e-4  7.877e-10  a
net25                       1.80    0.007    0.043    0.65e-4  7.802e-10  a
net263                      1.80    0.005    0.645    0.0001   7.706e-10  a
clknet_0_net330             1.80    0.020    0.000    0.23e-4  7.669e-10  a
net529                      1.80    0.010    0.000    0.49e-4  7.636e-10  a
net226                      1.80    0.003    0.436    0.0001   7.589e-10  a
net42                       1.80    0.006    0.687    0.72e-4  7.514e-10  a
